"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT16436132","Закрыта","27.07.2021 12:47:24","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","06.08.2021 12:47:24","нет","13263","BO MOS","13263","1"
"TT16436133","Закрыта","27.07.2021 12:47:26","Претензия","CCB","Обратная связь на работу оператора КЦ","30.07.2021 12:47:26","нет","8537","Мониторинг","8537","1"
"TT16436137","Закрыта","27.07.2021 12:47:42","Администрирование","Администрирование B2C","Переформление по смерти абонента","01.08.2021 12:47:42","нет","589","OBO","589","1"
"TT16436138","Закрыта","27.07.2021 12:47:50","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 12:47:50","нет","1311","OBO","1311","1"
"TT16436139","Закрыта","27.07.2021 12:47:51","Претензия","Технологическая заявка","Поиск сети (покрытие неустойчивое/покрытия нет)","26.11.2021 4:47:51","нет","854","Technology TT","854","1"
"TT16436140","Закрыта","27.07.2021 12:47:51","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","11.08.2021 12:47:51","нет","18703","OBO","18703","1"
"TT16436141","Закрыта","27.07.2021 12:47:52","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 12:47:52","нет","594","OBO","594","1"
"TT16436143","Закрыта","27.07.2021 12:48:10","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на банковские реквизиты)","06.08.2021 12:48:10","нет","25612","OBO","25612","1"
"TT16436144","Закрыта","27.07.2021 12:48:17","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 12:48:17","нет","293","OBO","293","1"
"TT16436145","Закрыта","27.07.2021 12:48:24","Претензия","NPS","Передача данных - Нет соединения","27.07.2022 12:48:24","нет","853","NPS","853","1"
"TT16436146","Закрыта","27.07.2021 12:48:31","Претензия","Претензии к дилеру","Не выполнена операция клиента","03.08.2021 12:48:31","нет","9941","OBO","9941","1"
"TT16436147","Закрыта","27.07.2021 12:48:41","Администрирование","Администрирование B2C","Перечисление на номер телефона","11.08.2021 12:48:41","нет","11289","OBO","11289","1"
"TT16436148","Закрыта","27.07.2021 12:48:41","Администрирование","Администрирование B2B","Заявка потенциального клиента","28.07.2021 12:48:41","нет","42","DS ORB","42","1"
"TT16436150","Закрыта","27.07.2021 12:49:06","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 12:49:06","нет","227","OBO","227","1"
"TT16436151","Закрыта","27.07.2021 12:49:33","Претензия","Личный кабинет","Проблема в работе ЛК","31.07.2021 12:49:33","нет","3334","OBO","3334","1"
"TT16436152","Закрыта","27.07.2021 12:49:47","Претензия","CCB","Обратная связь на работу оператора КЦ","30.07.2021 12:49:47","нет","8632","Мониторинг","8632","1"
"TT16436154","Закрыта","27.07.2021 12:49:55","Претензия","Технологическая заявка","Удержание MNP – Отмена переноса номера по желанию абонента (внутренний MNP)","26.11.2021 4:49:55","нет","852","Technology TT","852","1"
"TT16436155","Закрыта","27.07.2021 12:50:00","Администрирование","Администрирование B2B","Подключение услуги РТК ШПД","20.08.2021 12:50:00","нет","1256","CKBO B2B","1256","1"
"TT16436156","Закрыта","27.07.2021 12:50:16","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на банковские реквизиты)","06.08.2021 12:50:16","нет","25521","OBO","25521","1"
"TT16436157","Закрыта","27.07.2021 12:50:17","Администрирование","Администрирование B2C","Ошибочный наличный платёж","27.07.2021 20:50:17","нет","186","OBO","186","1"
"TT16436160","Закрыта","27.07.2021 12:50:52","Администрирование","Документация В2С","Копии документов для Tele2","30.07.2021 12:50:52","да","41724","OBO","41724","1"
"TT16436161","Закрыта","27.07.2021 12:51:08","Администрирование","Администрирование B2C","Корректировка регистрационных данных","29.07.2021 12:51:08","нет","210","BO MOS","210","1"
"TT16436162","Закрыта","27.07.2021 12:51:12","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 0:51:12","нет","126","OBO","126","1"
"TT16436163","Закрыта","27.07.2021 12:51:16","Претензия","Тарификация","Роуминг","31.07.2021 12:51:16","нет","80","OBO","80","1"
"TT16436165","Закрыта","27.07.2021 12:51:29","Администрирование","Администрирование B2C","Ошибка оператора при корректировке","27.07.2021 20:51:29","нет","198","OBO","198","1"
"TT16436166","Закрыта","27.07.2021 12:51:40","Претензия","NPS","Передача данных - Нет соединения","27.07.2022 12:51:40","нет","850","NPS","850","1"
"TT16436167","Закрыта","27.07.2021 12:51:50","Претензия","Черный список КЦ","Внесение абонента в черный список","27.07.2021 14:51:50","нет","5","Черный список КЦ","5","1"
"TT16436168","Закрыта","27.07.2021 12:52:12","Претензия","NPS","Телефония – Обрыв звонка","27.07.2022 12:52:12","нет","849","NPS","849","1"
"TT16436169","Закрыта","27.07.2021 12:52:15","Администрирование","Администрирование B2C","Корректировка РФА","29.07.2021 12:52:15","нет","1241","OBO","1241","1"
"TT16436170","Закрыта","27.07.2021 12:52:28","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 4:52:28","нет","849","Technology TT","849","1"
